round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_hidden_layer,optimizer,second_hidden_layer
20,0.753869354724884,0.6613546013832092,0.7136688828468323,0.6589326858520508,relu,64,0.5,20,8,RMSprop,6
20,0.844501256942749,0.586155354976654,0.7408788800239563,0.6798143982887268,relu,64,0.5,20,6,Adam,2
20,0.7918024063110352,0.5941234827041626,0.7373123168945312,0.6902552247047424,relu,64,0.5,20,6,Adam,4
20,0.7694204449653625,0.6170318722724915,0.7089857459068298,0.7134570479393005,relu,64,0.5,20,6,Adam,6
20,0.7596703171730042,0.6633465886116028,0.7168514132499695,0.7169373631477356,relu,64,0.5,20,6,RMSprop,2
20,0.7382022142410278,0.6628485918045044,0.8815932273864746,0.6403712034225464,relu,64,0.5,20,6,RMSprop,4
20,0.7941080331802368,0.6210159659385681,0.6791502833366394,0.7285382747650146,relu,64,0.5,20,6,RMSprop,6
60,0.7414540648460388,0.6269920468330383,0.8045443296432495,0.621809720993042,relu,64,0.5,60,10,Adam,2
60,0.6426093578338623,0.7016932368278503,0.8949360251426697,0.6322506070137024,relu,64,0.5,60,10,Adam,4
60,0.7532774209976196,0.666832685470581,0.7662398219108582,0.6682134866714478,relu,64,0.5,60,10,Adam,6
60,0.5814064145088196,0.7480079531669617,0.7114148736000061,0.7296983599662781,relu,64,0.5,60,10,RMSprop,2
60,0.560863196849823,0.769920289516449,0.6528066396713257,0.7331786751747131,relu,64,0.5,60,10,RMSprop,4
60,0.6423296332359314,0.7191234827041626,0.6868865489959717,0.7099767923355103,relu,64,0.5,60,10,RMSprop,6
60,0.7695775032043457,0.6304780840873718,0.792610228061676,0.6612529158592224,relu,64,0.5,60,8,Adam,2
60,0.8732345104217529,0.519920289516449,0.8374643921852112,0.6229698657989502,relu,64,0.5,60,8,Adam,4
60,0.6478342413902283,0.7350597381591797,0.6281120777130127,0.7679814100265503,relu,64,0.5,60,8,Adam,6
60,0.48872315883636475,0.798804759979248,0.6013432145118713,0.7610208988189697,relu,64,0.5,60,8,RMSprop,2
60,0.5773301124572754,0.732569694519043,0.5988828539848328,0.7459396719932556,relu,64,0.5,60,8,RMSprop,4
60,0.6214840412139893,0.7415338754653931,0.6701499223709106,0.6914153099060059,relu,64,0.5,60,8,RMSprop,6
60,0.6371185183525085,0.7136453986167908,0.7340421676635742,0.6774942278862,relu,64,0.5,60,6,Adam,2
60,0.7467523813247681,0.6598605513572693,0.8740935325622559,0.6310904622077942,relu,64,0.5,60,6,Adam,4
60,0.629800021648407,0.7091633677482605,0.8167794942855835,0.6577726006507874,relu,64,0.5,60,6,Adam,6
60,0.45530715584754944,0.8072709441184998,0.5947134494781494,0.7807424664497375,relu,64,0.5,60,6,RMSprop,2
60,0.5359747409820557,0.7619521617889404,0.6804304122924805,0.7401391863822937,relu,64,0.5,60,6,RMSprop,4
60,0.533137857913971,0.7619521617889404,0.5926451086997986,0.7436195015907288,relu,64,0.5,60,6,RMSprop,6
100,0.6631123423576355,0.7260956168174744,0.8400939106941223,0.6276102066040039,relu,64,0.5,100,10,Adam,2
100,0.7088662385940552,0.6782868504524231,0.9250264763832092,0.6055684685707092,relu,64,0.5,100,10,Adam,4
100,0.790145218372345,0.642430305480957,0.8545340895652771,0.6148492097854614,relu,64,0.5,100,10,Adam,6
100,0.33972620964050293,0.8645418286323547,0.6403046250343323,0.7691415548324585,relu,64,0.5,100,10,RMSprop,2
100,0.3998720049858093,0.8401394486427307,0.6886137127876282,0.7853828072547913,relu,64,0.5,100,10,RMSprop,4
100,0.4467695355415344,0.8112549781799316,0.637004017829895,0.7900232076644897,relu,64,0.5,100,10,RMSprop,6
100,0.593074381351471,0.7818725109100342,1.0595260858535767,0.6055684685707092,relu,64,0.5,100,8,Adam,2
100,0.7603991031646729,0.6235059499740601,1.0618813037872314,0.6067285537719727,relu,64,0.5,100,8,Adam,4
100,1.004639744758606,0.49252986907958984,0.9402228593826294,0.5870069861412048,relu,64,0.5,100,8,Adam,6
100,0.4651242792606354,0.8107569813728333,0.737921953201294,0.7111368775367737,relu,64,0.5,100,8,RMSprop,2
100,0.36131542921066284,0.842131495475769,0.9418644905090332,0.7157772779464722,relu,64,0.5,100,8,RMSprop,4
100,0.40738001465797424,0.8242031931877136,0.7895243167877197,0.7575405836105347,relu,64,0.5,100,8,RMSprop,6
100,1.0011296272277832,0.5084661245346069,0.9099679589271545,0.5904872417449951,relu,64,0.5,100,6,Adam,2
100,0.7404874563217163,0.68675297498703,0.8261550664901733,0.6740139126777649,relu,64,0.5,100,6,Adam,4
100,0.7037179470062256,0.6772908568382263,1.0665888786315918,0.6183294653892517,relu,64,0.5,100,6,Adam,6
100,0.4540325701236725,0.8077689409255981,0.7847700119018555,0.7482598423957825,relu,64,0.5,100,6,RMSprop,2
100,0.5987591743469238,0.7390438318252563,0.807532787322998,0.6937354803085327,relu,64,0.5,100,6,RMSprop,4
100,0.48177510499954224,0.7998008131980896,0.881571888923645,0.7436195015907288,relu,64,0.5,100,6,RMSprop,6
20,0.4150221645832062,0.8222111463546753,0.5765600800514221,0.7737818956375122,relu,128,0.3,20,10,Adam,2
20,0.36801522970199585,0.8431274890899658,0.5743645429611206,0.7969837784767151,relu,128,0.3,20,10,Adam,4
20,0.4105357527732849,0.8366534113883972,0.5526329874992371,0.7865429520606995,relu,128,0.3,20,10,Adam,6
20,0.6884174942970276,0.7231075763702393,0.6511576175689697,0.7412993311882019,relu,128,0.3,20,10,RMSprop,2
20,0.6347612142562866,0.7355577945709229,0.6810057759284973,0.6832946538925171,relu,128,0.3,20,10,RMSprop,4
20,0.643347978591919,0.7206175327301025,0.7223548889160156,0.7157772779464722,relu,128,0.3,20,10,RMSprop,6
20,0.435320645570755,0.8251991868019104,0.5746546983718872,0.7575405836105347,relu,128,0.3,20,8,Adam,2
20,0.372379869222641,0.8496015667915344,0.623313307762146,0.7772621512413025,relu,128,0.3,20,8,Adam,4
20,0.37440159916877747,0.8640438318252563,0.5743077993392944,0.79350346326828,relu,128,0.3,20,8,Adam,6
20,0.6573730707168579,0.7166334390640259,0.6579793691635132,0.7308584451675415,relu,128,0.3,20,8,RMSprop,2
20,0.575858473777771,0.7649402618408203,0.805857241153717,0.6566125154495239,relu,128,0.3,20,8,RMSprop,4
20,0.5599521398544312,0.7619521617889404,0.6808110475540161,0.73549884557724,relu,128,0.3,20,8,RMSprop,6
20,0.4013689458370209,0.8366534113883972,0.6515148878097534,0.7877030372619629,relu,128,0.3,20,6,Adam,2
20,0.4072696268558502,0.8366534113883972,0.7930189371109009,0.7331786751747131,relu,128,0.3,20,6,Adam,4
20,0.40774986147880554,0.8391434550285339,0.6375126242637634,0.7784222960472107,relu,128,0.3,20,6,Adam,6
20,0.6763706207275391,0.7086653113365173,0.8107208013534546,0.6635730862617493,relu,128,0.3,20,6,RMSprop,2
20,0.709851861000061,0.7131474018096924,0.6443451642990112,0.7389791011810303,relu,128,0.3,20,6,RMSprop,4
20,0.6581138968467712,0.737051784992218,0.6073072552680969,0.7459396719932556,relu,128,0.3,20,6,RMSprop,6
60,0.27549079060554504,0.892430305480957,0.6328893303871155,0.7993039488792419,relu,128,0.3,60,10,Adam,2
